Mhost,Msat,R,V
766912861533400.2,136858637612.99852,0.026491929264237483,0.30098335844424745
185290993379639.6,248153612856.72086,0.06320926044912625,0.3207072189376285
778090105518700.1,233135898091.5805,0.06302917989165571,0.3286540069777477
117868095581778.42,302363356076.80945,0.03989351121305666,0.26040122850049785
144918023242115.22,417381068951.2555,0.062161856177838475,0.33408946740985945
170704579452407.66,122289510475.62775,0.02370041218464893,0.2924318549867924
114135896082150.66,101477105252.58493,0.06832384789352677,0.3394110860002509
129502661197896.6,100433236324.96306,0.057473655346297926,0.2849168715283669
282556865967078.25,117090107367.7991,0.03577071729274985,0.3324641879639817
138015809669104.86,120206794304.2836,0.042424970702244214,0.3433408675945114
121516545300797.62,219596760673.5598,0.04400539281007843,0.2845638399689467
172426883344259.97,97828658292.46677,0.03509229585187438,0.3156230702224336
201772526436206.8,118645933943.87,0.024370979035703816,0.2702187989121069
162691290412998.5,123845349152.1418,0.062410880106603374,0.3211546642165576
547070914130434.3,166026586375.18466,0.04456394166400614,0.3376067471510305
209453480386741.5,105637667166.91284,0.05631611221831189,0.3466306564527762
